Evaporator Area,Condenser Area,Compressor Design Flow,Capacity,Outside Air Temperature,Success,Annual Operating Cost,Annualized Capital Cost,Annualized Capital Compressor Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Total Annualized Cost,Total Equp Cost,Experimental Op Cost
110,75,120,100,28,TRUE,31810.09614,40860.33681,33364.51642,4068.786552,3427.033833,72670.43295,40860.33681,
110,75,135,100,28,TRUE,33508.30728,44157.03527,36661.21489,4068.786552,3427.033833,77665.34255,44157.03528,
110,75,150,100,28,TRUE,35251.36057,47381.11874,39885.29836,4068.786552,3427.033833,82632.47931,47381.11875,
110,70,15,100,28,FALSE,0,0,0,0,0,0,0,
110,70,30,100,28,FALSE,0,0,0,0,0,0,0,
110,70,45,100,28,TRUE,45824.69219,22624.96959,15223.33656,4068.786552,3332.846483,68449.66178,22624.9696,
110,70,60,100,28,TRUE,30112.94501,26564.5156,19162.88256,4068.786552,3332.846483,56677.46061,26564.5156,
110,70,75,100,28,TRUE,28397.69905,30309.72134,22908.08831,4068.786552,3332.846483,58707.42039,30309.72135,
110,70,90,100,28,TRUE,28951.45426,33907.00146,26505.36843,4068.786552,3332.846483,62858.45573,33907.00147,
110,70,105,100,28,TRUE,30234.66176,37385.75095,29984.11791,4068.786552,3332.846483,67620.41271,37385.75095,
110,70,120,100,28,TRUE,31810.09614,40766.14946,33364.51642,4068.786552,3332.846483,72576.2456,40766.14946,
110,70,135,100,28,TRUE,33508.30728,44062.84792,36661.21489,4068.786552,3332.846483,77571.1552,44062.84793,
110,70,150,100,28,TRUE,35251.36057,47286.93139,39885.29836,4068.786552,3332.846483,82538.29196,47286.9314,
110,65,15,100,28,FALSE,0,0,0,0,0,0,0,
110,65,30,100,28,FALSE,0,0,0,0,0,0,0,
110,65,45,100,28,TRUE,45824.69219,22530.04079,15223.33656,4068.786552,3237.917686,68354.73298,22530.0408,
110,65,60,100,28,TRUE,30112.94501,26469.5868,19162.88256,4068.786552,3237.917686,56582.53181,26469.5868,
110,65,75,100,28,TRUE,28397.69905,30214.79254,22908.08831,4068.786552,3237.917686,58612.49159,30214.79255,
110,65,90,100,28,TRUE,28951.45426,33812.07267,26505.36843,4068.786552,3237.917686,62763.52693,33812.07267,
110,65,105,100,28,TRUE,30234.66176,37290.82215,29984.11791,4068.786552,3237.917686,67525.48391,37290.82215,
110,65,120,100,28,TRUE,31810.09614,40671.22066,33364.51642,4068.786552,3237.917686,72481.3168,40671.22066,
110,65,135,100,28,TRUE,33508.30728,43967.91913,36661.21489,4068.786552,3237.917686,77476.2264,43967.91913,
110,65,150,100,28,TRUE,35251.36057,47192.00259,39885.29836,4068.786552,3237.917686,82443.36316,47192.0026,
110,60,15,100,28,FALSE,0,0,0,0,0,0,0,
110,60,30,100,28,FALSE,0,0,0,0,0,0,0,
110,60,45,100,28,TRUE,45824.69219,22434.33822,15223.33656,4068.786552,3142.215107,68259.0304,22434.33822,
110,60,60,100,28,TRUE,30112.94501,26373.88422,19162.88256,4068.786552,3142.215107,56486.82923,26373.88422,
110,60,75,100,28,TRUE,28397.69905,30119.08996,22908.08831,4068.786552,3142.215107,58516.78901,30119.08997,
110,60,90,100,28,TRUE,28951.45426,33716.37009,26505.36843,4068.786552,3142.215107,62667.82435,33716.37009,
110,60,105,100,28,TRUE,30234.66176,37195.11957,29984.11791,4068.786552,3142.215107,67429.78133,37195.11957,
110,60,120,100,28,TRUE,31810.09614,40575.51808,33364.51642,4068.786552,3142.215107,72385.61422,40575.51808,
110,60,135,100,28,TRUE,33508.30728,43872.21655,36661.21489,4068.786552,3142.215107,77380.52382,43872.21655,
110,60,150,100,28,TRUE,35251.36057,47096.30002,39885.29836,4068.786552,3142.215107,82347.66059,47096.30002,
110,55,15,100,28,FALSE,0,0,0,0,0,0,0,
110,55,30,100,28,FALSE,0,0,0,0,0,0,0,
110,55,45,100,28,TRUE,45824.69219,22337.84069,15223.33656,4068.786552,3045.717582,68162.53288,22337.84069,
110,55,60,100,28,TRUE,30112.94501,26277.3867,19162.88256,4068.786552,3045.717582,56390.33171,26277.38669,
110,55,75,100,28,TRUE,28397.69905,30022.59244,22908.08831,4068.786552,3045.717582,58420.29149,30022.59244,
110,55,90,100,28,TRUE,28951.45426,33619.87256,26505.36843,4068.786552,3045.717582,62571.32683,33619.87256,
110,55,105,100,28,TRUE,30234.66176,37098.62205,29984.11791,4068.786552,3045.717582,67333.28381,37098.62204,
110,55,120,100,28,TRUE,31810.09614,40479.02056,33364.51642,4068.786552,3045.717582,72289.1167,40479.02055,
110,55,135,100,28,TRUE,33508.30728,43775.71902,36661.21489,4068.786552,3045.717582,77284.0263,43775.71902,
110,55,150,100,28,TRUE,35251.36057,46999.80249,39885.29836,4068.786552,3045.717582,82251.16306,46999.80249,
110,50,15,100,28,FALSE,0,0,0,0,0,0,0,
110,50,30,100,28,FALSE,0,0,0,0,0,0,0,
110,50,45,100,28,TRUE,45824.69219,22240.5488,15223.33656,4068.786552,2948.425692,68065.24099,22240.5488,
110,50,60,100,28,TRUE,30112.94501,26180.09481,19162.88256,4068.786552,2948.425692,56293.03982,26180.0948,
110,50,75,100,28,TRUE,28397.69905,29925.30055,22908.08831,4068.786552,2948.425692,58322.9996,29925.30055,
110,50,90,100,28,TRUE,28951.45426,33522.58067,26505.36843,4068.786552,2948.425692,62474.03494,33522.58067,
110,50,105,100,28,TRUE,30234.66176,37001.33016,29984.11791,4068.786552,2948.425692,67235.99192,37001.33015,
110,50,120,100,28,TRUE,31810.09614,40381.72867,33364.51642,4068.786552,2948.425692,72191.82481,40381.72866,
110,50,135,100,28,TRUE,33508.30728,43678.42713,36661.21489,4068.786552,2948.425692,77186.73441,43678.42713,
110,50,150,100,28,TRUE,35251.36057,46902.5106,39885.29836,4068.786552,2948.425692,82153.87117,46902.5106,
110,45,15,100,28,FALSE,0,0,0,0,0,0,0,
110,45,30,100,28,FALSE,0,0,0,0,0,0,0,
110,45,45,100,28,TRUE,45824.69219,22142.50409,15223.33656,4068.786552,2850.38098,67967.19628,22142.50409,
110,45,60,100,28,TRUE,30112.94501,26082.0501,19162.88256,4068.786552,2850.38098,56194.9951,26082.05009,
110,45,75,100,28,TRUE,28397.69905,29827.25584,22908.08831,4068.786552,2850.38098,58224.95488,29827.25584,
110,45,90,100,28,TRUE,28951.45426,33424.53596,26505.36843,4068.786552,2850.38098,62375.99022,33424.53596,
110,45,105,100,28,TRUE,30234.66176,36903.28545,29984.11791,4068.786552,2850.38098,67137.94721,36903.28544,
110,45,120,100,28,TRUE,31810.09614,40283.68395,33364.51642,4068.786552,2850.38098,72093.7801,40283.68395,
110,45,135,100,28,TRUE,33508.30728,43580.38242,36661.21489,4068.786552,2850.38098,77088.6897,43580.38242,
110,45,150,100,28,TRUE,35251.36057,46804.46589,39885.29836,4068.786552,2850.38098,82055.82646,46804.46589,
110,40,15,100,28,FALSE,0,0,0,0,0,0,0,
110,40,30,100,28,FALSE,0,0,0,0,0,0,0,
110,40,45,100,28,TRUE,45824.69219,22043.82511,15223.33656,4068.786552,2751.702002,67868.5173,22043.82511,
110,40,60,100,28,TRUE,30112.94501,25983.37112,19162.88256,4068.786552,2751.702002,56096.31613,25983.37111,
110,40,75,100,28,TRUE,28397.69905,29728.57686,22908.08831,4068.786552,2751.702002,58126.27591,29728.57686,
110,40,90,100,28,TRUE,28951.45426,33325.85698,26505.36843,4068.786552,2751.702002,62277.31125,33325.85698,
110,40,105,100,28,TRUE,30234.66176,36804.60647,29984.11791,4068.786552,2751.702002,67039.26823,36804.60646,
110,40,120,100,28,TRUE,31810.09614,40185.00498,33364.51642,4068.786552,2751.702002,71995.10112,40185.00497,
110,40,135,100,28,TRUE,33508.30728,43481.70344,36661.21489,4068.786552,2751.702002,76990.01072,43481.70344,
110,40,150,100,28,TRUE,35251.36057,46705.78691,39885.29836,4068.786552,2751.702002,81957.14748,46705.78691,
110,35,15,100,28,FALSE,0,0,0,0,0,0,0,
110,35,30,100,28,FALSE,0,0,0,0,0,0,0,
110,35,45,100,28,TRUE,45824.69219,21944.77824,15223.33656,4068.786552,2652.655135,67769.47043,21944.77825,
110,35,60,100,28,TRUE,30112.94501,25884.32425,19162.88256,4068.786552,2652.655135,55997.26926,25884.32425,
110,35,75,100,28,TRUE,28397.69905,29629.52999,22908.08831,4068.786552,2652.655135,58027.22904,29629.53,
110,35,90,100,28,TRUE,28951.45426,33226.81012,26505.36843,4068.786552,2652.655135,62178.26438,33226.81012,
110,35,105,100,28,TRUE,30234.66176,36705.5596,29984.11791,4068.786552,2652.655135,66940.22136,36705.5596,
110,35,120,100,28,TRUE,31810.09614,40085.95811,33364.51642,4068.786552,2652.655135,71896.05425,40085.95811,
